===== Fri Sep 25 19:43:35 -03 2026 - Derrubando distconc-guilherme-marcela-consumer-1 com docker stop
distconc-guilherme-marcela-consumer-1
Aguardando 10 s para observar o rebalanço...

===== Eventos de rebalanço desde a falha
consumer-19  | 2026-09-25T22:43:47.130115760Z [REBALANÇO] consumer-66b6137b442c recebeu as partições [0]
consumer-29  | 2026-09-25T22:43:38.043090208Z [REBALANÇO] consumer-f856ec21a4be perdeu as partições []
consumer-29  | 2026-09-25T22:43:38.074090969Z [REBALANÇO] consumer-f856ec21a4be recebeu as partições []
consumer-29  | 2026-09-25T22:43:47.082711619Z [REBALANÇO] consumer-f856ec21a4be perdeu as partições []
consumer-29  | 2026-09-25T22:43:47.132508051Z [REBALANÇO] consumer-f856ec21a4be recebeu as partições []
consumer-13  | 2026-09-25T22:43:38.032917895Z [REBALANÇO] consumer-cd7fac13e368 perdeu as partições []
consumer-13  | 2026-09-25T22:43:38.074038602Z [REBALANÇO] consumer-cd7fac13e368 recebeu as partições []
consumer-13  | 2026-09-25T22:43:47.089432572Z [REBALANÇO] consumer-cd7fac13e368 perdeu as partições []
consumer-13  | 2026-09-25T22:43:47.132417591Z [REBALANÇO] consumer-cd7fac13e368 recebeu as partições []
consumer-18  | 2026-09-25T22:43:38.032785589Z [REBALANÇO] consumer-8979762285ff perdeu as partições []
consumer-18  | 2026-09-25T22:43:38.074387460Z [REBALANÇO] consumer-8979762285ff recebeu as partições []
consumer-18  | 2026-09-25T22:43:47.086128866Z [REBALANÇO] consumer-8979762285ff perdeu as partições []
consumer-18  | 2026-09-25T22:43:47.130589460Z [REBALANÇO] consumer-8979762285ff recebeu as partições []
consumer-16  | 2026-09-25T22:43:38.016697074Z [REBALANÇO] consumer-797d47836e42 perdeu as partições []
consumer-16  | 2026-09-25T22:43:38.074035308Z [REBALANÇO] consumer-797d47836e42 recebeu as partições []
consumer-16  | 2026-09-25T22:43:47.081272693Z [REBALANÇO] consumer-797d47836e42 perdeu as partições []
consumer-16  | 2026-09-25T22:43:47.132933572Z [REBALANÇO] consumer-797d47836e42 recebeu as partições []
consumer-9   | 2026-09-25T22:43:38.047810508Z [REBALANÇO] consumer-8b045a59d377 perdeu as partições [5]
consumer-9   | 2026-09-25T22:43:38.074866404Z [REBALANÇO] consumer-8b045a59d377 recebeu as partições [5]
consumer-9   | 2026-09-25T22:43:47.080849139Z [REBALANÇO] consumer-8b045a59d377 perdeu as partições [5]
consumer-9   | 2026-09-25T22:43:47.132396775Z [REBALANÇO] consumer-8b045a59d377 recebeu as partições []
